expr	script_size	op_count	sat_witness_elements	exec_stack	mixed_timelocks	non_malleable	requires_sig	sat_size
and_b(after(1),a:andor(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),multi_a(2,A,B,C),multi_a(2,D,E,F)))	255	11	5	3	false	false	false	166
and_b(after(1),a:and_v(v:after(1),c:pk_k(A)))	42	7	2	2	false	true	true	66
and_b(after(1),a:and_v(v:after(1),multi_a(2,A,B,C)))	112	6	4	3	false	true	true	133
and_b(after(1),a:and_v(v:after(500000001),c:pk_h(A)))	37	10	3	3	true	true	true	99
and_b(after(1),a:and_v(v:after(500000001),multi_a(2,A,B,C)))	116	6	4	3	true	true	true	133
and_b(after(1),a:and_v(vc:pk_h(A),after(500000001)))	36	9	3	3	true	true	true	99
and_b(after(1),a:and_v(vc:pk_h(A),sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc)))	69	12	4	3	false	true	true	132
and_b(after(1),a:and_v(vc:pk_k(A),after(500000001)))	45	6	2	2	true	true	true	66
and_b(after(1),a:and_v(v:multi_a(2,A,B,C),after(1)))	111	5	4	3	false	true	true	133
and_b(after(1),a:and_v(v:multi_a(2,A,B,C),after(500000001)))	115	5	4	3	true	true	true	133
and_b(after(1),a:and_v(v:multi_a(2,A,B,C),multi_a(2,D,E,F)))	213	4	7	3	false	true	true	266
and_b(after(1),a:and_v(v:sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),multi_a(2,A,B,C)))	148	8	5	3	false	true	true	166
and_b(after(1),ac:andor(multi_a(2,A,B,C),pk_k(D),pk_k(E)))	179	8	5	3	false	true	true	199
and_b(after(1),ac:andor(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),pk_h(A),pk_h(B)))	96	18	4	3	false	false	false	132
and_b(after(1),ac:andor(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),pk_h(A),pk_k(B)))	105	15	4	3	false	false	false	132
and_b(after(1),ac:andor(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),pk_k(A),pk_k(B)))	114	12	3	3	false	false	false	99
and_b(after(1),ac:and_v(v:after(1),pk_h(A)))	33	10	3	3	false	true	true	99
and_b(after(1),ac:and_v(v:after(500000001),pk_h(A)))	37	10	3	3	true	true	true	99
and_b(after(1),ac:and_v(v:after(500000001),pk_k(A)))	46	7	2	2	true	true	true	66
and_b(after(1),ac:pk_h(A))	30	8	3	3	false	true	true	99
and_b(after(1),ac:pk_k(A))	39	5	2	2	false	true	true	66
and_b(after(1),aj:and_b(multi_a(2,A,B,C),a:after(500000001)))	PARSE_ERR
and_b(after(1),aj:and_b(multi_a(2,A,B,C),a:andor(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),after(1),after(1))))	PARSE_ERR
and_b(after(1),aj:and_v(v:after(500000001),multi_a(2,A,B,C)))	PARSE_ERR
and_b(after(1),ajc:pk_h(A))	34	12	3	3	false	true	true	99
and_b(after(1),ajc:pk_k(A))	43	9	2	2	false	true	true	66
and_b(after(1),aj:multi_a(2,A,B,C))	PARSE_ERR
and_b(after(1),a:multi_a(2,A,B,C))	109	4	4	3	false	true	true	133
and_b(after(1),an:andor(multi_a(2,A,B,C),after(500000001),multi_a(2,D,E,F)))	223	9	7	3	true	true	true	136
and_b(after(1),a:or_b(c:pk_h(A),aj:multi_a(2,B,C,D)))	PARSE_ERR
and_b(after(1),a:or_b(j:multi_a(2,A,B,C),a:multi_a(2,D,E,F)))	PARSE_ERR
and_b(after(1),a:or_b(multi_a(2,A,B,C),ac:pk_h(D)))	137	11	6	4	false	true	true	167
and_b(after(1),a:or_b(multi_a(2,A,B,C),aj:multi_a(2,D,E,F)))	PARSE_ERR
and_b(after(1),a:or_b(multi_a(2,A,B,C),a:multi_a(2,D,E,F)))	216	7	7	4	false	true	true	136
and_b(after(1),a:or_b(multi_a(2,A,B,C),a:or_d(multi_a(2,D,E,F),multi_a(2,G,I,J))))	323	10	10	4	false	true	true	139
and_b(after(1),a:or_d(c:pk_h(A),multi_a(2,B,C,D)))	137	11	6	3	false	true	true	167
and_b(after(1),a:or_d(c:pk_k(A),multi_a(2,B,C,D)))	146	8	5	3	false	true	true	134
and_b(after(1),a:or_d(j:multi_a(2,A,B,C),multi_a(2,D,E,F)))	PARSE_ERR
and_b(after(1),a:or_d(multi_a(2,A,B,C),and_v(v:multi_a(2,D,E,F),after(500000001))))	222	8	7	3	true	true	true	136
and_b(after(1),a:or_d(multi_a(2,A,B,C),c:pk_h(D)))	137	11	6	3	false	true	true	133
and_b(after(1),a:or_d(multi_a(2,A,B,C),j:multi_a(2,D,E,F)))	PARSE_ERR
and_b(after(1),a:or_d(multi_a(2,A,B,C),multi_a(2,D,E,F)))	216	7	7	3	false	true	true	136
and_b(after(1),a:or_d(or_i(c:pk_h(A),0),multi_a(2,B,C,D)))	141	14	7	3	false	false	false	169
and_b(after(1),a:or_d(sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),after(1)))	49	12	2	3	false	false	false	33
and_b(after(1),a:or_d(sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),multi_a(2,A,B,C)))	151	11	5	3	false	false	false	166
and_b(after(1),a:or_d(sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc)))	86	15	3	3	false	false	false	66
and_b(after(1),a:or_i(0,and_b(after(500000001),a:multi_a(2,A,B,C))))	122	11	5	4	true	true	true	134
and_b(after(1),a:or_i(0,j:multi_a(2,A,B,C)))	PARSE_ERR
and_b(after(1),a:or_i(0,multi_a(2,A,B,C)))	113	7	5	3	false	true	true	134
and_b(after(1),a:or_i(multi_a(2,A,B,C),0))	113	7	5	3	false	true	true	135
and_b(after(1),a:thresh(2,multi_a(2,A,B,C),a:multi_a(2,D,E,F),a:sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b)))	260	15	8	4	false	false	false	299
and_b(after(1),a:thresh(2,multi_a(2,A,B,C),a:multi_a(2,D,E,F),s:sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b)))	259	14	8	4	false	false	false	299
and_b(after(1),a:thresh(2,multi_a(2,A,B,C),s:sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),a:multi_a(2,D,E,F)))	259	14	8	4	false	false	false	299
and_b(after(1),a:thresh(2,sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),a:multi_a(2,A,B,C),a:multi_a(2,D,E,F)))	260	15	8	4	false	false	false	299
and_b(after(1),s:andor(c:pk_k(A),after(500000001),0))	48	8	2	2	true	true	true	66
and_b(after(1),s:and_v(v:after(500000001),c:pk_k(A)))	45	6	2	2	true	true	true	66
and_b(after(1),s:and_v(vc:pk_k(A),after(1)))	40	5	2	2	false	true	true	66
and_b(after(1),s:and_v(vc:pk_k(A),after(500000001)))	44	5	2	2	true	true	true	66
and_b(after(1),sc:and_v(v:after(1),pk_k(A)))	41	6	2	2	false	true	true	66
and_b(after(1),sc:and_v(v:after(500000001),pk_k(A)))	45	6	2	2	true	true	true	66
and_b(after(1),sc:pk_k(A))	38	4	2	2	false	true	true	66
and_b(after(1),sjc:pk_k(A))	42	8	2	2	false	true	true	66
and_b(after(500000001),a:and_b(after(1),a:and_b(after(1),a:multi_a(2,A,B,C))))	123	12	4	5	true	true	true	133
and_b(after(500000001),a:and_b(after(1),ac:pk_h(A)))	39	12	3	4	true	true	true	99
and_b(after(500000001),a:and_b(after(1),ac:pk_k(A)))	48	9	2	3	true	true	true	66
and_b(after(500000001),a:and_b(after(1),ajc:pk_k(A)))	52	13	2	3	true	true	true	66
and_b(after(500000001),a:and_b(after(1),aj:multi_a(2,A,B,C)))	PARSE_ERR
and_b(after(500000001),a:and_b(after(1),a:multi_a(2,A,B,C)))	118	8	4	4	true	true	true	133
and_b(after(500000001),a:and_b(after(1),a:or_d(multi_a(2,A,B,C),multi_a(2,D,E,F))))	225	11	7	4	true	true	true	136
and_b(after(500000001),a:and_b(after(1),sc:pk_k(A)))	47	8	2	3	true	true	true	66
and_b(after(500000001),a:and_b(after(500000001),a:andor(sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),after(500000001),after(500000001))))	72	17	2	4	false	false	false	33
and_b(after(500000001),a:and_b(after(500000001),ac:andor(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),pk_h(A),pk_h(B))))	109	22	4	4	false	false	false	132
and_b(after(500000001),a:and_b(after(500000001),ac:pk_h(A)))	43	12	3	4	false	true	true	99
and_b(after(500000001),a:and_b(after(500000001),ac:pk_k(A)))	52	9	2	3	false	true	true	66
and_b(after(500000001),a:and_b(after(500000001),a:multi_a(2,A,B,C)))	122	8	4	4	false	true	true	133
and_b(after(500000001),a:and_b(and_b(after(1),a:multi_a(2,A,B,C)),a:after(1)))	123	12	4	4	true	true	true	133
and_b(after(500000001),a:and_b(and_b(after(1),a:multi_a(2,A,B,C)),a:multi_a(2,D,E,F)))	225	11	7	4	true	true	true	266
and_b(after(500000001),a:and_b(andor(sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),after(500000001),after(500000001)),a:after(500000001)))	72	17	2	3	false	false	false	33
and_b(after(500000001),a:and_b(c:and_v(v:after(500000001),pk_h(A)),a:and_b(after(500000001),a:or_d(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),after(500000001)))))	101	25	4	5	false	false	false	132
and_b(after(500000001),a:and_b(c:pk_h(A),a:after(1)))	39	12	3	3	true	true	true	99
and_b(after(500000001),a:and_b(c:pk_h(A),a:after(500000001)))	43	12	3	3	false	true	true	99
and_b(after(500000001),a:and_b(c:pk_k(A),a:after(1)))	48	9	2	3	true	true	true	66
and_b(after(500000001),a:and_b(c:pk_k(A),a:after(500000001)))	52	9	2	3	false	true	true	66
and_b(after(500000001),a:and_b(j:multi_a(2,A,B,C),a:after(1)))	PARSE_ERR
and_b(after(500000001),a:and_b(multi_a(2,A,B,C),a:after(1)))	118	8	4	3	true	true	true	133
and_b(after(500000001),a:and_b(multi_a(2,A,B,C),a:after(500000001)))	122	8	4	3	false	true	true	133
and_b(after(500000001),a:and_b(multi_a(2,A,B,C),a:and_b(after(1),a:after(1))))	123	12	4	4	true	true	true	133
and_b(after(500000001),a:and_b(multi_a(2,A,B,C),a:andor(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),after(500000001),after(500000001))))	170	16	5	4	false	false	false	166
and_b(after(500000001),a:and_b(multi_a(2,A,B,C),a:multi_a(2,D,E,F)))	220	7	7	4	false	true	true	266
and_b(after(500000001),a:and_b(multi_a(2,A,B,C),an:after(1)))	119	9	4	3	true	true	true	133
and_b(after(500000001),a:and_b(multi_a(2,A,B,C),a:sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc)))	155	11	5	4	false	true	true	166
and_b(after(500000001),a:and_b(multi_a(2,A,B,C),s:or_d(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),after(500000001))))	163	14	5	4	false	false	false	166
and_b(after(500000001),a:and_b(multi_a(2,A,B,C),s:or_i(after(1),0)))	121	10	5	3	true	true	true	135
and_b(after(500000001),a:and_b(multi_a(2,A,B,C),s:sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc)))	154	10	5	4	false	true	true	166
and_b(after(500000001),a:and_b(n:after(1),ac:pk_h(A)))	40	13	3	4	true	true	true	99
and_b(after(500000001),a:and_b(n:after(1),a:multi_a(2,A,B,C)))	119	9	4	4	true	true	true	133
and_b(after(500000001),a:and_b(n:after(500000001),aj:multi_a(2,A,B,C)))	PARSE_ERR
and_b(after(500000001),a:and_b(sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),a:multi_a(2,A,B,C)))	155	11	5	4	false	true	true	166
and_b(after(500000001),a:andor(c:pk_h(A),after(1),c:pk_h(B)))	64	16	5	3	true	true	true	133
and_b(after(500000001),a:andor(c:pk_h(A),after(1),c:pk_k(B)))	73	13	4	3	true	true	true	100
and_b(after(500000001),a:andor(c:pk_h(A),after(1),multi_a(2,B,C,D)))	143	12	6	3	true	true	true	167
and_b(after(500000001),a:andor(c:pk_k(A),after(1),c:pk_h(B)))	73	13	4	3	true	true	true	100
and_b(after(500000001),a:andor(c:pk_k(A),after(1),multi_a(2,B,C,D)))	152	9	5	3	true	true	true	134
and_b(after(500000001),a:andor(j:multi_a(2,A,B,C),after(500000001),multi_a(2,D,E,F)))	PARSE_ERR
and_b(after(500000001),a:andor(multi_a(2,A,B,C),after(1),0))	119	8	4	3	true	true	true	133
and_b(after(500000001),a:andor(multi_a(2,A,B,C),after(1),c:pk_h(D)))	143	12	6	3	true	true	true	133
and_b(after(500000001),a:andor(multi_a(2,A,B,C),after(1),j:multi_a(2,D,E,F)))	PARSE_ERR
and_b(after(500000001),a:andor(multi_a(2,A,B,C),after(1),multi_a(2,D,E,F)))	222	8	7	3	true	true	true	136
and_b(after(500000001),a:andor(multi_a(2,A,B,C),after(500000001),0))	123	8	4	3	false	true	true	133
and_b(after(500000001),a:andor(multi_a(2,A,B,C),after(500000001),multi_a(2,D,E,F)))	226	8	7	3	false	true	true	136
and_b(after(500000001),a:andor(multi_a(2,A,B,C),multi_a(2,D,E,F),multi_a(2,G,I,J)))	324	7	7	3	false	true	true	266
and_b(after(500000001),a:andor(multi_a(2,A,B,C),n:after(1),multi_a(2,D,E,F)))	223	9	7	3	true	true	true	136
and_b(after(500000001),a:andor(multi_a(2,A,B,C),or_d(multi_a(2,D,E,F),after(1)),multi_a(2,G,I,J)))	329	11	7	3	true	true	true	266
and_b(after(500000001),a:andor(sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),after(500000001),after(500000001)))	63	13	2	3	false	false	false	33
and_b(after(500000001),a:andor(sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),after(500000001),and_b(after(500000001),a:after(500000001))))	72	17	2	3	false	false	false	33
and_b(after(500000001),a:andor(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),multi_a(2,A,B,C),0))	156	11	5	3	false	false	false	166
and_b(after(500000001),a:andor(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),multi_a(2,A,B,C),multi_a(2,D,E,F)))	259	11	5	3	false	false	false	166
and_b(after(500000001),a:and_v(or_c(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),v:after(500000001)),multi_a(2,A,B,C)))	161	12	5	3	false	false	false	166
and_b(after(500000001),a:and_v(v:after(1),and_b(multi_a(2,A,B,C),s:sha256(b0bad1d9227d3bbf001b0071bc49fd68252175e09bce6e2a07f826cf0be7c548))))	157	12	5	4	true	true	true	166
and_b(after(500000001),a:and_v(v:after(1),c:pk_h(A)))	37	10	3	3	true	true	true	99
and_b(after(500000001),a:and_v(v:after(1),j:multi_a(2,A,B,C)))	PARSE_ERR
and_b(after(500000001),a:and_v(v:after(1),multi_a(2,A,B,C)))	116	6	4	3	true	true	true	133
and_b(after(500000001),a:and_v(v:after(500000001),multi_a(2,A,B,C)))	120	6	4	3	false	true	true	133
and_b(after(500000001),a:and_v(vc:pk_h(A),after(1)))	36	9	3	3	true	true	true	99
and_b(after(500000001),a:and_v(vc:pk_h(A),after(500000001)))	40	9	3	3	false	true	true	99
and_b(after(500000001),a:and_v(vc:pk_h(A),sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc)))	73	12	4	3	false	true	true	132
and_b(after(500000001),a:and_v(vc:pk_k(A),after(1)))	45	6	2	2	true	true	true	66
and_b(after(500000001),a:and_v(vj:multi_a(2,A,B,C),after(1)))	PARSE_ERR
and_b(after(500000001),a:and_v(v:multi_a(2,A,B,C),after(1)))	115	5	4	3	true	true	true	133
and_b(after(500000001),a:and_v(v:multi_a(2,A,B,C),after(500000001)))	119	5	4	3	false	true	true	133
and_b(after(500000001),a:and_v(v:multi_a(2,A,B,C),multi_a(2,D,E,F)))	217	4	7	3	false	true	true	266
and_b(after(500000001),a:and_v(vn:after(1),multi_a(2,A,B,C)))	117	7	4	3	true	true	true	133
and_b(after(500000001),a:and_v(v:or_d(multi_a(2,A,B,C),after(1)),multi_a(2,D,E,F)))	223	9	7	3	true	true	true	266
and_b(after(500000001),a:and_v(v:or_d(multi_a(2,A,B,C),sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc)),multi_a(2,D,E,F)))	260	12	8	3	false	true	true	266
and_b(after(500000001),a:and_v(v:sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),multi_a(2,A,B,C)))	152	8	5	3	false	true	true	166
and_b(after(500000001),ac:andor(multi_a(2,A,B,C),pk_h(D),pk_k(E)))	174	11	6	3	false	true	true	232
and_b(after(500000001),ac:andor(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),pk_h(A),pk_h(B)))	100	18	4	3	false	false	false	132
and_b(after(500000001),ac:andor(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),pk_k(A),pk_h(B)))	109	15	4	3	false	false	false	132
and_b(after(500000001),ac:and_v(or_c(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),v:after(500000001)),pk_k(A)))	91	13	3	3	false	false	false	99
and_b(after(500000001),ac:and_v(v:after(1),pk_h(A)))	37	10	3	3	true	true	true	99
and_b(after(500000001),ac:and_v(v:after(1),pk_k(A)))	46	7	2	2	true	true	true	66
and_b(after(500000001),ac:and_v(v:after(500000001),pk_h(A)))	41	10	3	3	false	true	true	99
and_b(after(500000001),ac:and_v(v:after(500000001),pk_k(A)))	50	7	2	2	false	true	true	66
and_b(after(500000001),ac:and_v(v:sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),pk_k(A)))	82	9	3	3	false	true	true	99
and_b(after(500000001),ac:pk_h(A))	34	8	3	3	false	true	true	99
and_b(after(500000001),ac:pk_k(A))	43	5	2	2	false	true	true	66
and_b(after(500000001),aj:and_b(multi_a(2,A,B,C),a:after(1)))	PARSE_ERR
and_b(after(500000001),aj:and_b(multi_a(2,A,B,C),a:andor(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),after(500000001),after(500000001))))	PARSE_ERR
and_b(after(500000001),aj:and_v(v:multi_a(2,A,B,C),after(1)))	PARSE_ERR
and_b(after(500000001),ajc:pk_h(A))	38	12	3	3	false	true	true	99
and_b(after(500000001),ajc:pk_k(A))	47	9	2	2	false	true	true	66
and_b(after(500000001),aj:multi_a(2,A,B,C))	PARSE_ERR
and_b(after(500000001),a:multi_a(2,A,B,C))	113	4	4	3	false	true	true	133
and_b(after(500000001),an:andor(multi_a(2,A,B,C),after(1),0))	120	9	4	3	true	true	true	133
and_b(after(500000001),an:and_v(v:multi_a(2,A,B,C),after(1)))	116	6	4	3	true	true	true	133
and_b(after(500000001),a:or_b(c:pk_h(A),aj:multi_a(2,B,C,D)))	PARSE_ERR
and_b(after(500000001),a:or_b(c:pk_h(A),a:multi_a(2,B,C,D)))	141	11	6	4	false	true	true	167
and_b(after(500000001),a:or_b(jc:pk_h(A),a:multi_a(2,B,C,D)))	145	15	6	4	false	false	false	134
and_b(after(500000001),a:or_b(j:multi_a(2,A,B,C),a:multi_a(2,D,E,F)))	PARSE_ERR
and_b(after(500000001),a:or_b(multi_a(2,A,B,C),ac:pk_h(D)))	141	11	6	4	false	true	true	167
and_b(after(500000001),a:or_b(multi_a(2,A,B,C),aj:multi_a(2,D,E,F)))	PARSE_ERR
